Dataset,TF,IDF,Norm,Precision@10,Recall,MAP
npl,log_avg,none,pivoted,0.267741935483871,0.1505097789220236,0.08883258804828315
npl,log_avg,none,byte,0.06774193548387096,0.02935911310170899,0.013887956753359753
npl,logarithmic,standard,none,0.3096774193548387,0.20281403739132903,0.1223524814055359
npl,logarithmic,standard,cosine,0.23118279569892472,0.14057537098672523,0.08336407447559993
npl,logarithmic,standard,pivoted,0.3053763440860215,0.18926009751181946,0.12086151798790382
npl,logarithmic,standard,byte,0.11612903225806451,0.07848871333774395,0.03428523768676738
npl,logarithmic,probabilistic,none,0.30752688172043013,0.20235607848613119,0.12183430114271226
npl,logarithmic,probabilistic,cosine,0.23225806451612904,0.13925041112109962,0.08319575199538468
npl,logarithmic,probabilistic,pivoted,0.3032258064516129,0.1880709837667349,0.12103042504504273
npl,logarithmic,probabilistic,byte,0.11505376344086021,0.07817317861360706,0.034281374092082706
npl,logarithmic,none,none,0.2731182795698925,0.15598874418322303,0.09390544250728473
npl,logarithmic,none,cosine,0.23870967741935484,0.14324816940553586,0.07978808212515909
npl,logarithmic,none,pivoted,0.2817204301075269,0.15942267502794655,0.09606472996601549
npl,logarithmic,none,byte,0.08064516129032256,0.04157615650872193,0.017340118450837813
